Time, Voltage, PWM
0.866000, 0.000000, 75
2.020000, 0.000000, 75
2.905000, 0.000000, 75
3.517000, 0.000000, 75
4.138000, 0.000000, 75
4.799000, 0.000000, 75
5.562000, 0.000000, 75
6.340000, 0.000000, 75
7.118000, 0.000000, 75
7.706000, 0.000000, 75
8.325000, 0.000000, 75
9.053000, 0.000000, 75
9.643000, 0.000000, 75
10.294000, 0.000000, 75
10.943000, 0.000000, 75
11.613000, 0.000000, 75
12.314000, 0.000000, 75
12.928000, 0.000000, 75
13.672000, 0.000000, 75
14.353000, 0.000000, 75
14.942000, 0.000000, 75
15.783000, 0.000000, 75
16.663000, 0.000000, 75
17.355000, 0.000000, 75
18.155000, 0.000000, 75
18.894000, 0.000000, 75
19.491000, 0.000000, 75
20.106000, 0.000000, 75
20.907000, 0.000000, 75
21.493000, 0.000000, 75
22.113000, 0.000000, 75
22.772000, 0.000000, 75
23.382000, 0.000000, 75
24.071000, 0.000000, 75
24.704000, 0.000000, 75
25.383000, 0.000000, 75
26.185000, 0.000000, 75
26.780000, 0.000000, 75
27.641000, 0.000000, 75
28.388000, 0.000000, 75
29.025000, 0.000000, 75
29.824000, 0.000000, 75
30.701000, 0.000000, 75
31.301000, 0.000000, 75
32.014000, 0.000000, 75
32.778000, 0.000000, 75
33.363000, 0.000000, 75
33.998000, 0.000000, 75
34.720000, 0.000000, 75
35.427000, 0.000000, 75
36.064000, 0.000000, 75
36.717000, 0.000000, 75
37.367000, 0.000000, 75
38.060000, 0.000000, 75
38.659000, 0.000000, 75
39.338000, 0.000000, 75
40.124000, 0.000000, 75
40.717000, 0.000000, 75
41.573000, 0.000000, 75
42.365000, 0.000000, 75
42.984000, 0.000000, 75
43.714000, 0.000000, 75
44.454000, 0.000000, 75
45.027000, 0.000000, 75
45.577000, 0.000000, 75
46.285000, 0.000000, 75
46.848000, 0.000000, 75
47.417000, 0.000000, 75
48.085000, 0.000000, 75
48.693000, 0.000000, 75
49.281000, 0.000000, 75
50.009000, 0.000000, 75
50.561000, 0.000000, 75
51.185000, 0.000000, 75
51.876000, 0.000000, 75
52.460000, 0.000000, 75
53.066000, 0.000000, 75
53.703000, 0.000000, 75
54.366000, 0.000000, 75
55.031000, 0.000000, 75
55.593000, 0.000000, 75
56.290000, 0.000000, 75
56.999000, 0.000000, 75
57.555000, 0.000000, 75
58.348000, 0.000000, 75
59.077000, 0.000000, 75
59.668000, 0.000000, 75
60.223000, 0.000000, 75
60.860000, 0.000000, 75
61.412000, 0.000000, 75
61.988000, 0.000000, 75
62.646000, 0.000000, 75
63.325000, 0.000000, 75
63.997000, 0.000000, 75
64.659000, 0.000000, 75
65.348000, 0.000000, 75
65.951000, 0.000000, 75
66.858000, 0.000000, 75
67.785000, 0.000000, 75
68.438000, 0.000000, 75
69.094000, 0.000000, 75
69.821000, 0.000000, 75
70.455000, 0.000000, 75
71.173000, 0.000000, 75
71.857000, 0.000000, 75
72.506000, 0.000000, 75
73.161000, 0.000000, 75
73.765000, 0.000000, 75
74.379000, 0.000000, 75
75.000000, 0.000000, 75
75.562000, 0.000000, 75
76.391000, 0.000000, 75
77.142000, 0.000000, 75
77.717000, 0.000000, 75
78.540000, 0.000000, 75
79.300000, 0.000000, 75
79.905000, 0.000000, 75
80.510000, 0.000000, 75
81.278000, 0.000000, 75
81.976000, 0.000000, 75
82.698000, 2.416992, 75
83.661000, 2.416992, 75
84.423000, 3.222656, 75
85.186000, 3.222656, 75
86.161000, 3.222656, 75
86.986000, 3.222656, 75
87.820000, 3.222656, 75
88.781000, 4.833984, 75
89.693000, 5.639648, 75
90.788000, 6.445312, 75
91.682000, 7.250976, 75
92.637000, 8.056641, 75
93.687000, 9.667969, 75
94.211000, 10.473632, 75
95.200000, 12.084961, 78
96.132000, 13.696289, 83
97.049000, 13.696289, 88
97.933000, 12.890625, 92
98.404000, 10.473632, 92
99.300000, 13.696289, 97
